50	38	sample_12	sample_25	sample_34	sample_35	sample_36	sample_37	sample_38	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_26	sample_27
M55150	NO	412	842	1811	1406	1707	2072	1753	1929	1647	2112	1555	1514	2693	654	1283	1286	915	732	691	853	1238	822	885	680	548	1157	387	707	1822	738	907	860	92	686	803	803	514	561
X95735	NO	408	700	2947	1050	4863	2612	1671	2224	3348	6218	1548	3297	3482	298	307	309	693	713	247	52	-215	-223	492	-25	724	360	938	848	926	390	615	827	68	122	-108	222	433	-674
U50136	NO	747	1171	2402	2137	3965	2539	2286	1641	2545	3818	2943	2535	1373	1124	1062	1398	942	928	842	1066	1668	966	1175	626	706	864	515	825	1837	883	1309	817	383	825	731	899	805	1286
M16038	NO	399	50	1674	735	2727	2399	784	679	1305	2694	1028	2680	3223	365	624	108	873	686	302	325	244	273	144	34	281	589	854	289	534	540	44	616	447	239	9	515	268	483
U82759	NO	15	267	652	262	618	805	673	822	1137	1050	1157	1083	1099	393	118	667	410	119	147	735	248	258	409	306	87	188	99	67	-226	102	432	359	149	160	366	770	59	-187
M23197	NO	287	203	1450	781	970	408	275	316	555	1130	1338	774	443	261	101	309	288	395	58	84	251	155	167	140	152	145	81	202	286	141	155	180	139	124	108	102	128	84
M84526	NO	41	-203	4830	-312	4573	6759	1569	-21	6569	7372	4833	141	2000	-283	-65	-395	-367	290	-40	-366	-656	-231	-36	-152	-104	-140	-198	-102	-158	-76	-108	-58	-151	-243	-275	-263	-53	-398
Y12670	NO	258	402	1807	1038	1051	1064	2538	733	1296	647	1085	1467	1513	600	337	574	716	524	270	463	689	262	167	174	201	180	625	330	784	314	146	636	371	180	780	655	190	273
M27891	NO	107	-229	1537	1481	17863	13296	1661	1073	6962	14555	7238	12339	3654	303	1358	254	-304	-86	1168	-233	-247	336	498	-376	-97	820	76	36	375	22	-180	205	-124	-102	425	-205	66	34
X17042	NO	5252	3711	8518	3628	10603	8479	1285	7858	8859	11003	5849	3259	8855	177	3460	416	392	7972	597	403	140	848	1094	1343	2408	2525	2133	1232	1150	1232	1519	180	1912	354	178	1687	1750	291
Y00787	NO	3684	9270	8054	216	17022	19361	10043	15202	3104	6506	2096	12715	21147	333	5345	301	241	93	215	159	455	445	522	1278	116	94	29	38	282	136	-53	119	118	206	146	185	183	150
M96326	NO	1296	502	13464	1233	7955	9933	2676	548	19615	9994	7791	976	4108	782	368	1268	882	949	910	826	1302	1337	82	737	160	838	520	478	7	-144	45	-862	343	678	1177	734	29	176
U46751	NO	1347	1395	4719	1106	5868	6903	7061	7113	3717	11618	1262	3088	5749	1298	1379	1496	1401	1894	528	1747	1514	803	1939	587	1489	1784	2286	944	1888	2111	1983	2731	1962	1739	585	1571	1437	990
M80254	NO	267	13	59	72	692	672	307	373	550	425	82	619	864	-88	109	-53	-111	139	46	-77	-214	94	45	40	70	136	135	18	184	10	-38	17	34	-23	30	209	19	-100
L08246	NO	2095	635	3127	853	6159	5503	2083	6718	1766	4915	2056	4136	4126	543	2972	485	740	2453	375	961	404	783	1288	733	1405	742	1718	623	1016	1198	1010	1969	1377	791	596	868	827	190
M62762	NO	1030	933	3236	1125	4647	3808	3594	2702	1736	3553	3255	4249	1871	835	3072	609	935	1665	499	764	1323	1741	1188	1870	1482	892	1306	593	2376	542	809	2475	1514	1977	672	1235	1114	-9
M28130	NO	1855	4271	3693	-45	11517	12979	5072	10476	1653	2971	688	7108	13176	292	2062	-25	-2	138	23	107	-19	104	-35	189	3	9	91	73	17	41	16	242	184	155	148	-146	29	-233
M63138	NO	1763	1371	5587	3909	12358	7125	2275	4214	2558	8793	4630	7373	2771	1410	2325	2789	1132	1269	1854	2735	1962	2900	1855	1471	786	2337	2035	1910	4215	711	1346	2273	545	949	1297	1343	1330	2127
M57710	NO	988	560	394	72	5940	6247	6530	159	5824	7142	499	1853	6704	-115	2171	-26	22	244	108	-45	674	103	252	9	-42	389	-46	-48	-83	944	343	950	64	88	-85	-96	43	-269
M69043	NO	7901	14011	13338	2306	21135	12115	5902	13895	1908	11990	9866	10899	14090	1489	6084	2281	2178	1094	1513	2866	2129	3862	1974	2561	3602	1204	2859	1259	2689	2753	815	2233	5193	1026	740	2785	2381	569
M81695	NO	494	439	1702	1137	2014	2683	974	1147	478	2279	754	978	1690	695	812	810	599	282	711	556	1281	746	513	461	315	1030	333	426	588	666	250	284	137	401	613	513	416	430
X85116	NO	530	559	727	1639	1096	3397	4465	2274	2195	478	983	1017	1999	162	169	-18	199	334	117	378	571	-8	176	139	182	452	304	540	1263	203	1074	1071	675	177	417	300	342	7
M19045	NO	3939	515	4259	2517	15519	13221	2702	2475	3605	6268	7035	7969	13195	382	3606	2997	1331	3069	2850	1201	1947	2629	2148	969	210	3633	735	637	973	1263	694	888	447	527	1820	71	304	2331
M83652	NO	252	-49	1338	565	2892	157	-245	1179	868	1537	1675	657	562	-70	364	-208	34	218	401	255	-100	521	-169	-276	4	493	114	-91	78	-163	-196	-345	82	-175	121	-183	-65	-239
X04085	NO	294	747	5878	2140	5162	2887	4681	3077	6000	5065	7260	2027	3072	1057	1395	823	1655	2000	537	6133	775	633	463	628	1220	662	1990	1143	2474	220	1271	4004	1781	350	431	3970	773	115
